MRPS14,OXA1L,CYCS,NDUFB5,EIF3I,RPL19,MRPS23,NDUFV1,RPS25,MRPS7
5.720903,6.663696,7.109894,5.099791,9.036099,10.709336,5.197698,6.810913,9.371487,6.638793
4.091107,5.576024,6.601293,4.554227,8.507707,10.107646,4.280459,6.014522,9.094631,5.530367
4.484579,6.812871,7.429916,4.674563,9.237217,10.928157,4.496826,6.886241,10.513144,6.022752
5.20534,7.675186,7.890068,7.582868,8.875938,10.397393,4.932404,8.665941,8.884846,7.099929
5.208863,5.716549,5.775897,5.675032,8.262225,10.299583,4.805642,6.967081,8.746046,5.813218
4.411737,6.016179,7.358472,5.707804,8.829534,10.253227,5.055018,6.899972,9.050471,6.522977
4.742992,6.391706,7.072061,5.52189,9.193755,10.408145,5.138143,8.33382,8.709665,6.119551
4.259569,6.081803,5.98361,4.624972,8.350886,9.721045,4.037907,6.43141,9.216765,5.276252
3.993974,5.75468,6.282216,5.441934,8.439132,10.426062,3.981589,6.285439,9.03962,5.917055
5.061029,6.444326,7.210631,5.651092,8.754672,10.770409,4.486213,6.935294,9.722723,6.143625
4.262815,4.933194,6.478741,4.803102,8.278556,9.828496,4.176736,6.480117,8.581888,5.741939
4.266782,5.406836,6.523041,4.688208,8.056204,9.784795,3.977732,6.575914,8.719886,5.372922
4.535052,6.269671,7.96866,6.094747,8.823542,10.459728,4.473312,7.682854,8.847026,6.031648
4.345943,5.393767,6.728828,5.328941,8.716745,9.836035,4.698352,6.235043,8.949017,6.162494
4.337036,5.707955,6.100557,5.40318,7.881762,9.522139,3.629383,6.22769,7.818692,5.026639
3.854746,5.858943,7.452902,4.543399,8.754919,10.331609,4.291604,6.584342,9.858854,5.697887
4.70769,5.723399,6.308471,5.170129,8.663513,10.43989,4.518843,6.997947,9.846363,5.737703
4.730624,6.32928,6.882373,5.649226,8.655784,10.412453,4.529999,7.049157,9.799218,5.718375
4.223475,5.799163,6.593164,4.737545,8.89669,10.52148,4.145092,6.461664,9.639625,5.722671
4.491339,6.473489,7.038939,5.160701,8.935959,10.384874,4.016085,7.096805,9.13068,6.130423
4.763588,5.644449,7.423286,5.565363,7.989457,10.477539,4.868434,6.543113,9.767755,6.157607
3.984111,5.925797,6.776551,5.340155,8.679826,10.468194,4.977348,6.921386,8.475686,6.419528
4.19651,6.539182,7.696469,5.89566,9.445664,10.756718,4.965199,6.158527,8.819605,6.048349
3.564017,5.360304,5.98711,4.83936,8.617616,9.87525,3.436663,5.719672,8.80898,5.021889
3.994857,5.349434,6.485126,5.1631,8.39261,9.653692,4.744157,5.840166,8.893154,6.074273
4.713139,5.77932,6.686149,4.912823,8.924599,9.891254,4.44582,6.619505,9.231847,5.757363
4.853281,5.675067,6.171302,4.786116,8.70776,10.203527,4.427106,5.844956,8.620859,5.912488
5.096558,6.251924,7.018646,5.921901,8.098055,10.335242,4.320285,6.623395,9.665032,6.094703
3.991909,5.530343,5.845744,4.407659,8.366423,9.694988,3.359374,5.866718,8.898029,5.116023
4.359506,5.815702,6.438262,4.597222,8.393559,10.24176,4.271593,6.541687,9.521255,5.728949
3.08554,5.113271,6.626408,3.821755,8.580316,10.717019,3.503807,5.21969,9.422419,5.135086
4.368465,5.84468,6.880495,5.50809,8.70488,9.698191,4.424498,6.804274,8.280287,5.948875
3.783297,5.194704,6.116308,4.741547,8.091093,9.333476,3.256503,5.732432,8.758038,4.812338
4.75045,5.648635,7.666256,4.955698,8.423189,10.17726,4.452914,6.459175,9.470864,6.082125
5.365706,7.228331,7.49352,5.91891,9.342055,10.837472,4.973258,8.128221,10.100392,5.890951
4.572293,6.237102,5.838005,5.133348,8.318208,11.100516,4.372942,7.303331,10.169946,5.854035
4.811173,6.506606,5.965403,5.313029,8.940815,10.148669,4.668173,6.994659,8.960662,6.36258
4.868978,6.460577,7.323377,5.923777,8.190944,10.454298,4.767829,7.832025,8.766231,6.018823
4.53773,6.597546,7.311192,4.990739,9.691285,10.959602,5.206345,7.248381,9.311007,6.26537
3.982383,5.648457,5.797347,4.366327,8.153597,9.858198,3.678282,5.678335,8.799851,5.428505
4.828231,5.830792,6.473283,5.478044,8.505912,10.383687,4.849673,7.477112,8.824912,6.159767
4.848886,5.915158,7.167177,5.150065,8.973869,10.739191,4.890709,6.959332,10.014649,6.119336
4.162003,6.173343,6.719535,4.900542,8.932929,10.47938,4.498921,7.247091,9.805074,6.040568
4.586062,6.086524,6.452352,4.890195,8.53822,10.071175,4.408934,6.239985,9.20164,5.798501
4.41078,6.363687,7.304312,5.063026,8.772903,10.664018,4.479398,6.755684,9.656335,5.881841
5.297305,7.026847,8.316272,5.769691,8.929927,10.382027,4.262244,7.787809,9.520191,5.745331
4.320043,6.097569,7.20646,5.503415,8.859414,9.550677,4.65157,6.182056,9.162008,5.865683
4.779333,6.734862,7.153663,5.925869,9.399903,9.942113,4.427582,7.111325,9.997478,6.660988
3.701554,5.312062,5.120529,4.443867,9.098586,10.271637,3.430706,6.013589,8.945276,4.561662
4.282493,7.175519,6.448784,5.244436,7.964716,10.217048,3.81282,6.476725,8.515476,5.393786
5.448445,6.599212,7.130312,6.816888,9.324811,10.678525,5.084465,7.26572,9.022485,6.484506
5.435426,6.312152,8.038903,6.031437,8.47001,9.872757,4.674315,6.556205,9.01279,5.211047
4.208204,5.859637,6.595367,4.9274,9.428526,10.551324,4.443256,6.700275,8.949142,5.91982
5.135996,6.531563,7.504767,6.314254,8.449919,11.445701,4.61598,7.074546,10.665998,6.016304
4.447857,5.413901,5.637371,4.718723,8.505355,9.812531,4.020907,6.533495,8.231071,5.598605
4.860645,5.336761,6.3644,5.748792,8.750454,10.190424,4.785032,6.161374,9.338639,6.24274
4.592578,5.640363,6.340792,5.666553,8.334977,9.698346,4.1406,6.404312,8.883392,5.647793
4.589404,5.776609,7.193395,5.132826,7.844322,9.951249,4.071757,6.238024,9.338521,5.595018
4.3612,5.446757,7.203729,5.449213,9.055127,9.686919,4.122056,7.367192,8.454677,5.536388
4.995852,6.47866,7.548664,6.398077,8.839557,9.79259,4.223937,6.925256,9.562639,6.420935
4.165222,5.654952,7.09781,4.776069,8.318632,9.875636,3.502555,6.614578,8.867839,5.38999
4.361327,6.774879,6.583026,5.66171,9.135641,10.587151,4.552279,7.135128,9.271387,6.005738
4.518129,6.517321,6.967208,5.180787,8.811766,9.775159,4.120556,7.020552,9.702388,5.724461
3.690516,5.772366,7.240335,5.749703,8.518518,9.90723,4.537261,6.151656,8.617969,6.018951
4.326512,6.144822,6.558035,4.700315,8.572112,9.953547,4.018839,6.713396,8.992349,5.600533
4.260281,6.032073,6.501579,5.548675,8.292027,10.208918,3.901799,5.818251,8.937429,5.559981
4.443504,6.45091,7.115373,7.077266,8.240803,10.30788,4.011581,6.086366,8.958766,5.535641
